,Unnamed: 0,Unnamed: 0.1,game_location,game_result,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_pts,date_game,team_id,opp_id,year,dk_points_allowed
0,0,0,Home,W 149-140 (2OT),290,60,113,0.531,50,86,0.581,10,27,0.37,19,20,0.95,149,49,100,0.49,35,64,0.547,14,36,0.389,28,36,0.778,140,2012-03-23,OKC,MIN,2012,147.0
1,1,1,Home,W 149-106 ,240,53,86,0.616,34,50,0.68,19,36,0.528,24,35,0.686,149,40,93,0.43,32,73,0.438,8,20,0.4,18,22,0.818,106,2016-11-23,GSW,LAL,2017,110.0
2,2,2,@,W 147-144 (4OT),340,56,124,0.452,48,95,0.505,8,29,0.276,27,46,0.587,147,50,120,0.417,45,98,0.459,5,22,0.227,39,44,0.886,144,2015-12-18,DET,CHI,2016,146.5
3,3,3,@,W 145-130 ,240,56,97,0.577,45,71,0.634,11,26,0.423,22,28,0.786,145,44,95,0.463,30,63,0.476,14,32,0.438,28,35,0.8,130,2014-04-08,HOU,LAL,2014,137.0
4,4,4,@,W 144-143 (2OT),290,57,109,0.523,46,80,0.575,11,29,0.379,19,24,0.792,144,53,125,0.424,38,82,0.463,15,43,0.349,22,25,0.88,143,2015-04-10,DAL,DEN,2015,150.5
5,5,5,Home,L 144-147 (4OT),340,50,120,0.417,45,98,0.459,5,22,0.227,39,44,0.886,144,56,124,0.452,48,95,0.505,8,29,0.276,27,46,0.587,147,2015-12-18,CHI,DET,2016,151.0
6,6,6,Home,W 144-109 ,240,56,86,0.651,43,58,0.741,13,28,0.464,19,23,0.826,144,40,92,0.435,29,62,0.468,11,30,0.367,18,22,0.818,109,2016-04-13,MIN,NOP,2016,114.5
7,7,7,Home,W 144-98 ,240,57,92,0.62,40,58,0.69,17,34,0.5,13,16,0.813,144,36,82,0.439,24,54,0.444,12,28,0.429,14,22,0.636,98,2017-01-28,GSW,LAC,2017,104.0
8,8,8,Home,W 143-107 ,240,51,76,0.671,43,58,0.741,8,18,0.444,33,40,0.825,143,44,102,0.431,37,77,0.481,7,25,0.28,12,15,0.8,107,2014-03-28,MIN,LAL,2014,110.5
9,9,9,Home,L 143-144 (2OT),290,53,125,0.424,38,82,0.463,15,43,0.349,22,25,0.88,143,57,109,0.523,46,80,0.575,11,29,0.379,19,24,0.792,144,2015-04-10,DEN,DAL,2015,149.5
10,10,10,@,W 143-114 ,240,48,83,0.578,33,53,0.623,15,30,0.5,32,35,0.914,143,43,105,0.41,32,71,0.451,11,34,0.324,17,23,0.739,114,2017-01-20,BRK,NOP,2017,119.5
11,11,11,@,W 142-94 ,240,57,103,0.553,45,77,0.584,12,26,0.462,16,22,0.727,142,34,86,0.395,26,56,0.464,8,30,0.267,18,26,0.692,94,2014-03-06,LAC,LAL,2014,98.0
12,12,12,Home,W 142-119 ,240,53,87,0.609,44,64,0.688,9,23,0.391,27,34,0.794,142,43,83,0.518,33,54,0.611,10,29,0.345,23,28,0.821,119,2016-01-02,SAC,PHO,2016,124.0
13,13,13,Home,W 142-106 ,240,54,104,0.519,40,67,0.597,14,37,0.378,20,26,0.769,142,35,85,0.412,32,70,0.457,3,15,0.2,33,35,0.943,106,2016-12-05,GSW,IND,2017,107.5
14,14,14,Home,W 142-139 (4OT),340,52,119,0.437,42,88,0.477,10,31,0.323,28,40,0.7,142,51,128,0.398,33,77,0.429,18,51,0.353,19,23,0.826,139,2017-01-29,ATL,NYK,2017,148.0
15,15,15,Home,W 142-130 ,240,44,94,0.468,22,36,0.611,22,58,0.379,32,42,0.762,142,49,94,0.521,40,68,0.588,9,26,0.346,23,28,0.821,130,2017-02-25,HOU,MIN,2017,134.5
16,16,16,Home,W 141-129 (2OT),290,56,101,0.554,46,78,0.59,10,23,0.435,19,24,0.792,141,48,93,0.516,34,66,0.515,14,27,0.519,19,26,0.731,129,2013-02-26,MIA,SAC,2013,136.0
17,17,17,@,L 140-149 (2OT),290,49,100,0.49,35,64,0.547,14,36,0.389,28,36,0.778,140,60,113,0.531,50,86,0.581,10,27,0.37,19,20,0.95,149,2012-03-23,MIN,OKC,2012,154.0
18,18,18,@,W 140-133 (3OT),315,46,93,0.495,32,67,0.478,14,26,0.538,34,43,0.791,140,51,108,0.472,43,84,0.512,8,24,0.333,23,30,0.767,133,2012-11-12,UTA,TOR,2013,137.0
19,19,19,Home,W 140-109 ,240,46,91,0.505,23,51,0.451,23,40,0.575,25,35,0.714,140,41,86,0.477,38,71,0.535,3,15,0.2,24,30,0.8,109,2013-02-05,HOU,GSW,2013,110.5
20,20,20,Home,W 140-106 ,240,51,82,0.622,33,47,0.702,18,35,0.514,20,28,0.714,140,44,85,0.518,39,72,0.542,5,13,0.385,13,21,0.619,106,2014-11-21,DAL,LAL,2015,108.5
21,21,21,Home,W 140-132 (OT),265,47,91,0.516,25,54,0.463,22,37,0.595,24,33,0.727,140,44,88,0.5,33,56,0.589,11,32,0.344,33,52,0.635,132,2016-01-18,LAC,HOU,2016,137.5
22,22,22,Home,W 140-116 ,240,45,81,0.556,31,41,0.756,14,40,0.35,36,43,0.837,140,45,96,0.469,32,63,0.508,13,33,0.394,13,16,0.813,116,2016-12-30,HOU,LAC,2017,122.5
23,23,23,Home,W 140-112 ,240,52,91,0.571,37,59,0.627,15,32,0.469,21,23,0.913,140,44,94,0.468,32,65,0.492,12,29,0.414,12,13,0.923,112,2017-01-12,DEN,IND,2017,118.0
24,24,24,@,W 140-135 (OT),265,49,92,0.533,30,54,0.556,19,38,0.5,23,28,0.821,140,50,99,0.505,38,70,0.543,12,29,0.414,23,26,0.885,135,2017-02-06,CLE,WAS,2017,141.0
